SLpM,TD_Def,Sub_Avg,style,fighter_name,Height,Weight,Reach,Stance,DOB,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc
3.47,0.52,0.6,0,Henry Briones,"5' 8""",135 lbs.,"69""",Orthodox,"Oct 22, 1980",0.42,4.68,0.53,0.0,0.0
1.46,0.5,0.0,4,Antwain Britt,"6' 1""",205 lbs.,"77""",,"May 09, 1978",0.39,2.81,0.44,1.56,0.4
2.69,0.8,0.3,4,Jonathan Brookins,"6' 0""",145 lbs.,"74""",Southpaw,"Aug 13, 1985",0.39,3.63,0.56,1.94,0.17
4.26,0.82,0.3,0,Will Brooks,"5' 10""",155 lbs.,"72""",Orthodox,"Oct 08, 1986",0.59,2.54,0.56,2.08,0.51
2.12,0.69,0.6,4,Jarred Brooks,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",0.46,1.66,0.62,4.54,0.57
2.83,0.26,3.2,1,Rob Broughton,"6' 2""",265 lbs.,"74""",Orthodox,"Mar 03, 1983",0.6,2.54,0.51,0.0,0.0
3.81,0.63,1.5,0,Matt Brown,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",0.54,2.68,0.55,1.6,0.47
2.98,0.66,0.6,0,Mike Brown,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975",0.44,2.45,0.6,3.23,0.4
3.67,0.71,0.6,0,Randy Brown,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",0.47,2.8,0.53,1.0,0.46
3.66,0.53,0.7,0,Damien Brown,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",0.38,4.86,0.5,0.68,0.27
3.22,0.4,0.4,0,TJ Brown,"5' 9""",145 lbs.,"72""",Switch,"May 22, 1990",0.42,2.21,0.5,4.92,0.6
2.93,0.75,0.2,0,Travis Browne,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",0.41,4.31,0.42,1.21,0.68
7.97,0.0,0.0,2,Cody Brundage,"6' 0""",205 lbs.,"72""",Orthodox,"May 16, 1994",0.82,6.29,0.06,6.29,0.33
3.77,1.0,0.4,0,Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",0.47,2.95,0.54,3.02,0.31
2.35,0.33,0.8,4,Justin Buchholz,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",0.26,4.14,0.51,0.0,0.0
4.89,1.0,0.0,5,Joaquin Buckley,"5' 10""",185 lbs.,"76""",Southpaw,"Apr 27, 1994",0.38,5.46,0.51,0.66,0.16
2.42,0.83,0.0,4,Julia Budd,"5' 7""",145 lbs.,"67""",,"Jul 04, 1983",0.74,1.18,0.47,3.6,0.57
0.65,0.0,3.4,1,Mike Budnik,"5' 9""",145 lbs.,"68""",Orthodox,"Aug 08, 1974",0.52,0.95,0.53,0.0,0.0
4.44,0.71,1.9,0,Mayra Bueno Silva,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",0.53,6.74,0.44,0.0,0.0
3.29,0.39,0.4,0,Paul Buentello,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974",0.45,3.83,0.52,0.19,0.33
3.56,1.0,0.0,0,Modestas Bukauskas,"6' 3""",205 lbs.,"78""",Switch,"Feb 10, 1994",0.37,5.7,0.42,0.0,0.0
1.63,0.71,0.4,4,Wuliji Buren,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 01, 1989",0.42,2.96,0.56,3.38,0.42
7.31,0.89,0.1,2,Shane Burgos,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",0.5,5.81,0.6,0.3,1.0
2.69,0.72,0.3,4,Joshua Burkman,"5' 10""",170 lbs.,"72""",Orthodox,"Apr 10, 1980",0.43,3.13,0.51,2.53,0.36
1.28,0.22,0.4,4,Mads Burnell,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 06, 1994",0.41,2.71,0.51,3.45,0.47
2.74,0.47,0.8,4,Kevin Burns,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",0.38,4.3,0.52,0.28,0.5
3.15,0.5,0.7,0,Gilbert Burns,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",0.46,2.74,0.56,2.21,0.37
1.67,0.75,2.8,1,Herbert Burns,"5' 9""",145 lbs.,"73""",Orthodox,"Feb 02, 1988",0.45,5.02,0.33,4.64,0.83
2.99,0.0,2.4,1,JP Buys,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 30, 1996",0.58,2.02,0.47,3.64,0.6
6.13,1.0,0.0,5,Cheyanne Buys,"5' 3""",115 lbs.,"63""",Switch,"Jun 25, 1995",0.55,2.33,0.66,0.0,0.0
3.8,1.0,1.0,0,Dennis Buzukja,"5' 9""",145 lbs.,"71""",Switch,"Oct 01, 1997",0.46,6.8,0.35,2.0,0.25
3.43,0.4,1.5,0,Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983",0.55,2.63,0.55,2.5,0.5
2.02,0.37,1.2,4,Yan Cabral,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983",0.47,1.98,0.62,2.89,0.35
4.15,0.59,0.8,0,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",0.5,2.91,0.65,0.55,0.76
5.07,0.28,0.0,5,Vince Cachero,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 07, 1989",0.5,6.87,0.47,0.0,0.0
3.84,0.69,0.0,0,Priscila Cachoeira,"5' 7""",135 lbs.,"65""",Orthodox,"Aug 19, 1988",0.37,7.93,0.42,0.0,0.0
6.17,0.55,0.5,5,Joanne Calderwood,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985",0.48,4.31,0.52,1.9,0.57
4.18,0.71,1.1,0,Cynthia Calvillo,"5' 4""",125 lbs.,"64""",Orthodox,"Jul 13, 1987",0.41,3.52,0.67,1.85,0.44
6.67,0.72,0.0,5,Frank Camacho,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989",0.46,7.31,0.52,1.17,0.45
1.29,0.2,1.5,4,Fabricio Camoes,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 23, 1978",0.33,1.85,0.61,2.34,0.32
3.57,0.57,0.5,0,Chris Camozzi,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",0.44,2.96,0.56,0.27,0.19
3.15,0.0,0.7,0,Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991",0.26,6.39,0.54,0.0,0.0
3.99,0.82,0.0,0,Shane Campbell,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",0.59,3.19,0.55,1.36,0.28
2.43,0.48,0.2,4,Will Campuzano,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986",0.31,3.82,0.57,0.88,0.45
3.94,0.2,0.0,0,Aleksa Camur,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",0.54,2.49,0.57,0.84,0.33
2.58,0.72,0.4,4,Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",0.41,2.46,0.64,0.77,0.4
3.87,0.46,0.0,0,Carlos Candelario,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991",0.47,1.67,0.57,0.0,0.0
4.79,1.0,0.3,5,Luiz Cane,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981",0.41,5.0,0.6,0.56,0.28
2.85,0.75,0.3,0,Guido Cannetti,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",0.51,2.17,0.5,2.64,0.5
3.7,0.54,0.0,0,Jared Cannonier,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",0.52,3.09,0.64,0.16,0.33
3.63,0.8,0.7,0,Steve Cantwell,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 08, 1986",0.34,5.76,0.55,0.65,0.3
2.93,1.0,1.0,0,Phil Caracappa,"5' 8""",135 lbs.,"70""",Orthodox,"Jun 05, 1992",0.5,4.07,0.29,1.0,0.08
2.53,0.8,0.8,4,Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",0.34,3.61,0.54,2.57,0.25
3.35,0.57,0.8,0,Chris Cariaso,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",0.43,2.23,0.61,1.11,0.39
1.91,0.53,0.9,4,Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",0.44,1.98,0.53,3.7,0.44
2.55,0.57,0.5,4,Spike Carlyle,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993",0.54,3.85,0.3,3.34,0.36
2.22,0.73,0.6,4,Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",0.42,1.64,0.59,1.79,0.36
2.78,0.65,0.3,4,Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",0.54,2.51,0.61,2.57,0.51
1.46,0.83,1.4,4,Roan Carneiro,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978",0.46,1.82,0.62,3.05,0.42
6.03,0.0,0.0,5,Ariane Carnelossi,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",0.38,7.71,0.5,0.0,0.0
6.29,1.0,2.4,5,Luana Carolina,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993",0.5,3.75,0.47,0.0,0.0
3.03,1.0,0.0,0,Antonio Carvalho,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979",0.29,3.62,0.64,0.0,0.0
4.38,0.42,0.0,0,Shane Carwin,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",0.47,3.53,0.53,1.42,0.33
3.95,0.72,0.2,0,Johnny Case,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989",0.38,2.66,0.61,1.7,0.45
2.27,0.27,0.4,4,Kevin Casey,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",0.53,3.76,0.46,0.79,0.22
4.4,0.37,0.6,0,Cortney Casey,"5' 7""",135 lbs.,"67""",Orthodox,"May 05, 1987",0.38,4.31,0.53,0.31,0.3
3.43,0.66,0.0,0,John Castaneda,"5' 6""",135 lbs.,"71""",Switch,"Dec 18, 1991",0.44,5.3,0.51,1.0,0.25
2.57,0.63,0.2,4,Danny Castillo,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",0.42,1.96,0.62,2.95,0.38
2.11,0.83,0.5,4,Nick Catone,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",0.44,2.32,0.63,3.71,0.44
1.98,0.66,1.1,4,Gesias Cavalcante,"5' 8""",155 lbs.,"71""",Orthodox,"Jul 06, 1983",0.35,3.11,0.51,1.25,0.36
2.71,0.63,0.1,4,Rafael Cavalcante,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",0.53,3.62,0.49,0.6,0.4
2.38,0.66,1.0,4,Magnus Cedenblad,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",0.51,3.02,0.4,2.87,0.64
1.64,0.31,0.3,4,Yosdenis Cedeno,"5' 8""",155 lbs.,"69""",Orthodox,"Feb 12, 1985",0.29,1.6,0.67,0.0,0.0
3.92,0.93,0.2,0,Henry Cejudo,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",0.45,2.77,0.65,2.12,0.33
4.43,0.73,1.2,0,Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",0.46,4.46,0.53,1.19,0.33
4.16,0.85,0.3,0,Luan Chagas,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993",0.47,3.19,0.62,0.32,0.12
2.97,0.53,1.0,0,Alex Chambers,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978",0.54,5.1,0.5,2.31,0.41
4.08,0.8,1.5,0,Michael Chandler,"5' 8""",155 lbs.,"71""",,"Apr 24, 1986",0.47,3.81,0.52,2.57,0.41
2.79,0.5,0.0,4,Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983",0.4,3.89,0.59,0.89,0.33
3.27,1.0,0.0,0,Danny Chavez,"5' 8""",145 lbs.,"67""",Orthodox,"Mar 14, 1987",0.44,2.87,0.69,4.0,1.0
3.69,0.0,0.0,0,Mark Cherico,"5' 7""",145 lbs.,"69""",Orthodox,"May 12, 1986",0.34,7.37,0.56,5.03,0.5
4.4,0.7,0.7,0,Macy Chiasson,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",0.53,2.22,0.44,0.97,0.16
2.07,0.68,1.1,4,Michael Chiesa,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",0.39,1.95,0.52,3.84,0.51
3.45,0.68,0.0,0,Giga Chikadze,"6' 0""",145 lbs.,"74""",Orthodox,"Aug 25, 1988",0.43,2.65,0.6,0.38,0.33
9.03,0.0,3.1,2,Khamzat Chimaev,"6' 2""",170 lbs.,"75""",Orthodox,"May 01, 1994",0.72,0.1,0.66,4.67,0.75
5.32,0.5,0.0,5,Dooho Choi,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",0.51,6.38,0.53,0.41,0.2
3.33,0.66,0.0,0,SeungWoo Choi,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",0.42,2.77,0.45,0.69,0.5
2.65,0.78,0.4,4,John Cholish,"5' 11""",155 lbs.,"74""",Orthodox,"Dec 17, 1983",0.49,2.29,0.73,1.82,0.31
2.57,0.39,0.3,4,Ryo Chonan,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 08, 1976",0.43,2.25,0.6,0.61,0.41
4.22,0.51,0.5,0,Katlyn Chookagian,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",0.34,4.23,0.63,0.27,0.15
3.78,0.0,0.0,0,Joachim Christensen,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 07, 1978",0.41,3.29,0.46,0.0,0.0
4.0,0.6,1.0,0,Cameron Church,"5' 11""",155 lbs.,"72""",Orthodox,"Sep 27, 1990",0.4,4.93,0.5,0.0,0.0
4.99,0.64,0.3,5,Hannah Cifers,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",0.44,5.39,0.52,0.26,1.0
4.18,0.71,2.4,0,Misha Cirkunov,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 27, 1987",0.52,2.89,0.62,4.42,0.57
3.69,0.8,0.3,0,Heather Clark,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",0.49,5.62,0.5,0.33,0.04
3.33,0.76,0.1,0,Devin Clark,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",0.57,2.43,0.48,2.7,0.36
4.68,0.73,0.4,5,Jessica-Rose Clark,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 28, 1987",0.51,3.98,0.6,1.01,0.55
2.35,0.5,0.4,4,Mitch Clarke,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 24, 1985",0.34,3.27,0.47,0.64,0.15
1.43,0.25,1.1,4,Rich Clementi,"5' 9""",155 lbs.,"72""",Southpaw,"Mar 31, 1976",0.37,2.29,0.6,1.72,0.42
3.2,0.32,0.3,0,Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",0.49,2.37,0.44,0.0,0.0
2.15,0.41,2.5,1,Marloes Coenen,"5' 9""",145 lbs.,"67""",,"Mar 31, 1981",0.51,1.9,0.67,0.82,0.3
1.13,0.34,1.0,4,Felipe Colares,"5' 8""",135 lbs.,"69""",Orthodox,"Mar 31, 1994",0.42,3.0,0.32,2.0,0.25
1.88,0.5,0.8,4,Mark Coleman,"6' 1""",205 lbs.,"75""",Orthodox,"Dec 20, 1964",0.52,2.62,0.4,3.89,0.4
4.22,0.71,0.5,0,Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",0.32,5.0,0.5,2.81,0.39
3.11,0.5,1.6,0,Jamie Colleen,"5' 3""",115 lbs.,"65""",Orthodox,"Nov 02, 1985",0.61,5.66,0.33,0.52,0.33
4.92,0.67,0.4,5,Jake Collier,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",0.41,4.09,0.53,0.57,0.23
3.69,0.36,1.1,0,Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",0.39,2.52,0.57,0.55,0.55
4.27,0.6,1.0,0,Tristan Connelly,"5' 10""",170 lbs.,"68""",Orthodox,"Dec 12, 1985",0.51,2.13,0.57,0.0,0.0
3.55,0.28,1.8,0,Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",0.44,3.2,0.51,1.53,0.38
3.96,0.8,0.0,0,Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",0.26,4.82,0.5,0.0,0.0
0.8,0.25,0.0,4,Michael Cora,"6' 1""",170 lbs.,"77""",Southpaw,"Aug 24, 1989",0.28,0.13,0.66,0.0,0.0
3.25,0.86,0.0,0,Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",0.45,4.91,0.5,0.7,0.28
4.25,0.8,0.4,0,Daniel Cormier,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",0.52,2.92,0.54,1.83,0.44
4.39,0.84,0.0,5,Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",0.44,4.56,0.58,0.44,0.2
3.67,0.85,0.0,0,Tracy Cortez,"5' 5""",135 lbs.,"65""",Orthodox,"Dec 10, 1993",0.53,1.98,0.62,3.0,0.42
8.22,0.0,0.0,2,Louis Cosce,"5' 9""",170 lbs.,"71""",Orthodox,"Aug 27, 1995",0.48,9.3,0.48,1.07,0.11
4.56,0.7,0.0,5,Orion Cosce,"5' 11""",170 lbs.,"71""",Switch,"Jul 15, 1994",0.62,1.97,0.56,1.02,1.0
7.03,0.8,0.0,2,Paulo Costa,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",0.57,6.7,0.5,0.0,0.0
7.88,1.0,0.0,2,Randy Costa,"5' 9""",135 lbs.,"73""",Switch,"Jul 06, 1994",0.47,5.26,0.58,0.0,0.0
0.33,0.6,1.0,4,Oscar Cota,"6' 0""",230 lbs.,"72""",Orthodox,"Oct 15, 1984",0.41,2.47,0.41,0.0,0.0
2.81,0.43,0.2,4,Patrick Cote,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",0.48,3.21,0.48,0.68,0.2
4.82,0.62,0.0,5,Rashad Coulter,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",0.56,6.68,0.5,0.0,0.0
2.85,0.58,0.5,0,Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",0.57,1.53,0.59,2.78,0.46
3.54,0.46,1.3,0,Ryan Couture,"5' 10""",155 lbs.,"73""",Orthodox,"Aug 27, 1982",0.45,2.87,0.54,1.55,0.29
4.12,0.75,0.1,0,Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",0.38,2.86,0.55,4.61,0.5
3.88,0.5,0.0,0,Nathan Coy,"5' 10""",170 lbs.,"69""",Southpaw,"Jul 24, 1978",0.52,2.4,0.61,3.17,0.47
2.39,0.72,0.0,4,Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",0.4,3.01,0.5,0.53,0.37
2.4,0.55,1.5,4,Paul Craig,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",0.49,2.43,0.49,2.11,0.26
3.59,0.5,3.3,1,Tim Credeur,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",0.3,3.13,0.57,0.41,1.0
9.68,1.0,29.0,3,Kevin Croom,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 15, 1987",0.83,3.87,0.6,0.0,0.0
2.2,0.66,0.0,4,Ken Cross,"6' 0""",155 lbs.,"72""",Southpaw,"Oct 04, 1994",0.57,1.4,0.55,1.0,0.12
2.95,1.0,1.2,0,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",0.51,2.95,0.56,1.85,0.33
2.88,0.6,0.2,0,Daron Cruickshank,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",0.38,2.98,0.57,2.04,0.41
4.36,0.6,2.4,0,Jimmy Crute,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",0.57,2.31,0.54,4.33,0.75
3.52,0.83,0.1,0,Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",0.32,2.28,0.73,3.05,0.48
8.37,0.0,0.0,2,Aalon Cruz,"6' 0""",145 lbs.,"78""",Switch,"Sep 20, 1989",0.39,6.99,0.64,0.0,0.0
2.52,1.0,0.0,4,Josh Culibao,"5' 10""",155 lbs.,"73""",Orthodox,"May 24, 1994",0.38,4.3,0.48,0.0,0.0
2.58,0.65,0.7,4,Zak Cummings,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984",0.32,2.83,0.55,0.68,0.28
4.26,0.28,0.1,0,Patrick Cummins,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",0.5,3.35,0.55,4.49,0.41
1.74,0.42,1.4,4,Luke Cummo,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980",0.43,1.5,0.59,0.89,0.55
3.33,1.0,0.0,0,Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",0.75,4.94,0.2,1.67,0.1
1.54,0.35,1.2,4,Jeff Curran,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",0.31,2.48,0.6,0.35,0.12
3.89,0.61,0.6,0,Kailin Curran,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",0.43,4.75,0.53,2.0,0.57
5.1,0.8,0.0,5,Ion Cutelaba,"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",0.39,3.37,0.48,2.41,0.71
3.89,0.22,0.2,0,Henrique da Silva,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",0.6,5.28,0.4,0.25,0.14
2.07,0.77,0.4,4,Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",0.46,2.65,0.55,2.75,0.43
3.2,0.63,0.0,0,Nicolas Dalby,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",0.37,3.57,0.55,1.45,0.33
3.14,0.64,0.0,0,Paul Daley,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",0.47,2.37,0.6,0.91,0.4
2.92,0.33,0.9,0,Aisling Daly,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",0.52,1.4,0.55,2.15,0.41
3.5,0.8,0.3,0,Rodrigo Damm,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",0.36,5.61,0.57,0.44,0.16
3.39,1.0,0.0,0,Jarjis Danho,"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",0.48,5.77,0.47,0.57,0.2
3.39,0.46,0.6,0,Mac Danzig,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",0.48,3.44,0.57,1.2,0.37
3.43,0.0,0.0,0,Karen Darabedyan,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986",0.51,2.62,0.67,2.14,0.75
3.98,0.8,1.1,0,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",0.49,2.63,0.59,1.75,0.32
3.69,0.94,1.7,0,Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",0.59,2.16,0.42,2.33,0.41
9.58,0.0,0.0,2,Chris Daukaus,"6' 3""",250 lbs.,"76""",Orthodox,"Sep 25, 1989",0.62,3.45,0.67,0.0,0.0
2.72,0.47,1.4,4,Marcus Davis,"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",0.39,2.79,0.65,1.6,0.48
2.04,0.66,0.2,4,LC Davis,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",0.3,2.1,0.59,2.27,0.46
2.85,0.72,0.6,0,Phil Davis,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",0.34,1.33,0.72,2.99,0.38
5.87,0.66,0.0,5,Mike Davis,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 07, 1992",0.54,6.36,0.54,0.77,0.33
4.27,0.32,0.8,0,Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",0.46,4.18,0.55,0.74,0.33
4.65,0.56,0.1,5,Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",0.35,4.33,0.6,0.71,0.45
5.15,0.85,0.0,5,Hakeem Dawodu,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",0.47,2.31,0.63,0.0,0.0
3.5,0.33,2.1,1,Grant Dawson,"5' 10""",145 lbs.,"72""",Switch,"Feb 20, 1994",0.47,2.13,0.5,4.17,0.45
3.61,0.0,0.0,0,Jason Day,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",0.54,3.46,0.47,1.13,1.0
5.06,0.76,0.6,5,Martin Day,"5' 10""",135 lbs.,"73""",Orthodox,"Nov 10, 1988",0.46,3.83,0.58,0.95,0.6
2.61,0.75,0.0,4,Yorgan De Castro,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",0.44,3.9,0.55,0.0,0.0
3.67,0.59,0.0,0,Geraldo de Freitas,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",0.52,2.62,0.5,3.0,0.45
2.3,1.0,0.6,4,Philip De Fries,"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",0.47,3.0,0.37,3.29,0.42
4.08,0.33,1.0,0,Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",0.45,6.37,0.43,2.02,0.3
3.03,0.57,1.5,0,Montana De La Rosa,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",0.35,3.38,0.46,1.96,0.3
3.13,0.4,0.2,0,Mark De La Rosa,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",0.35,5.0,0.48,0.54,0.13
3.21,0.83,0.0,0,Mike de la Torre,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",0.39,4.75,0.51,0.36,0.16
1.0,0.0,1.0,4,Isabela de Padua,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",0.35,2.07,0.5,2.0,0.66
4.6,0.81,2.0,0,Gloria de Paula,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 10, 1995",0.57,0.8,0.7,0.0,0.0
2.72,0.69,0.4,4,Germaine de Randamie,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",0.46,2.14,0.65,0.0,0.0
1.56,0.0,3.5,1,Rolando Delgado,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",0.4,1.83,0.62,1.17,0.22
2.28,0.42,1.6,1,Roland Delorme,"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",0.44,4.32,0.4,2.51,0.34
2.99,0.55,1.9,1,Jon Delos Reyes,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",0.38,4.14,0.51,3.2,0.83
1.6,0.0,2.0,1,Vanessa Demopoulos,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988",0.41,3.13,0.5,0.0,0.0
